BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid
33,801758002,adventure-works\annik0,0x7AD728,4,Document Control Assistant,26-Dec-76,M,M,17.12.2008,0,17,28,1,51FDE6AC-BD50-467C-90E5-10CA7310455C
34,754372876,adventure-works\suchitra0,0x7AD738,4,Document Control Manager,10-Jun-87,M,F,16.02.2009,0,15,27,1,6ADBD932-0DA5-4F5C-AF67-8E3A53630896
35,999440576,adventure-works\brandon0,0x7AD744,4,Engineering Manager,10-Jan-77,M,M,08.02.2009,0,22,31,1,CA5D1935-44E2-4C45-93BB-809E59F56796
36,788456780,adventure-works\jose0,0x7AD74C,4,European Sales Manager,31-Jul-84,M,M,10.02.2009,0,20,30,1,9E912556-88BA-41EE-B946-CB84AB4C1102
37,442121106,adventure-works\chris2,0x7AD754,4,Facilities Administrative Assistant,7-Aug-86,S,M,07.03.2009,0,16,28,1,77B384C7-AFFB-4816-992B-F5B3034EE4FF
38,6298838,adventure-works\kim1,0x7AD75C,4,Facilities Manager,14-Dec-66,M,F,16.01.2010,0,24,32,1,891C27F4-28CC-44BB-BEA3-DA5EA7FBE957
39,461786517,adventure-works\ed0,0x7AD764,4,Finance Manager,11-Sep-71,S,M,05.02.2010,0,25,32,1,8EF22FB3-AF37-4B44-8862-D60A7CB09D82
40,309738752,adventure-works\jolynn0,0x7ADA,3,Human Resources Administrative Assistant,16-Jan-56,S,F,26.12.2007,0,82,61,1,2CC71B96-F421-485E-9832-8723337749BB
41,458159238,adventure-works\bryan0,0x7ADAB0,4,Human Resources Administrative Assistant,27-Aug-73,S,M,21.01.2009,0,35,37,1,4652D4E4-6A27-47ED-9F51-C377E293DA28
42,339712426,adventure-works\james0,0x7ADAD0,4,Human Resources Manager,25-Jul-84,M,M,27.12.2008,0,39,39,1,82E52D5A-165B-4C6D-9773-C3A6B6332ECD
43,693325305,adventure-works\nancy0,0x7ADAF0,4,Information Services Manager,19-Nov-88,M,F,02.01.2009,0,34,37,1,6B7EB306-9A00-496A-98A9-4E94FE72F77C
44,276751903,adventure-works\simon0,0x7ADB08,4,Janitor,17-May-90,S,M,08.12.2008,0,38,39,1,F734D38A-56B5-471E-8DED-A682E958A9B3
45,500412746,adventure-works\thomas0,0x7ADB18,4,Janitor,10-Jan-86,M,M,26.02.2009,0,37,38,1,8FF3AF67-32F2-4A08-98C3-A40F842D41A3
46,66073987,adventure-works\eugene1,0x7ADB28,4,Janitor,10-Feb-76,S,M,08.02.2009,0,36,38,1,33543B35-77DA-4600-A41B-1EAFEA0AD643
47,33237992,adventure-works\andrew0,0x7ADE,3,Janitor,6-Sep-88,S,M,22.02.2009,0,65,52,1,08365B05-C143-4260-A93C-6B69418B1946
48,690627818,adventure-works\ruth0,0x7ADEB0,4,JobTitle,4-Jun-56,M,F,06.01.2008,0,83,61,1,3E3B6905-209E-442E-B8A8-9A0980241C6A
49,912265825,adventure-works\barry0,0x7ADED0,4,Maintenance Supervisor,26-Mar-56,S,M,07.01.2008,0,88,64,1,756A60AE-378F-43D8-9F93-1E821D1EAF52
50,844973625,adventure-works\sidney0,0x7ADEF0,4,Marketing Assistant,30-Aug-56,M,M,02.02.2008,0,84,62,1,40D603D9-7F99-48B7-A580-B17CF429BED2
51,132674823,adventure-works\jeffrey0,0x7ADF08,4,Marketing Assistant,11-Jul-56,S,M,20.02.2008,0,85,62,1,6E086F41-B81D-4BDC-9F13-0EEC488DC43E
52,565090917,adventure-works\doris0,0x7ADF18,4,Marketing Assistant,4-Apr-56,M,F,10.03.2008,0,86,63,1,692B8826-03B4-4C3B-82FC-1FC6F1409689
53,9659517,adventure-works\diane0,0x7ADF28,4,Marketing Manager,29-Mar-56,M,F,28.03.2008,0,87,63,1,C334B2D2-0C56-4906-9095-F1D07A98CBEC
54,109272464,adventure-works\bonnie0,0x7ADF38,4,Marketing Specialist,10-Sep-86,M,F,01.01.2010,0,89,64,1,E950A52A-DF61-4FEC-9063-545664D65B89
55,233069302,adventure-works\taylor0,0x7AE1,3,Marketing Specialist,1-Apr-56,M,M,08.02.2008,0,79,59,1,28F7EF89-2793-4989-B67D-25046543C1E3
56,652535724,adventure-works\denise0,0x7AE158,4,Marketing Specialist,6-Jul-88,M,F,05.02.2009,0,9,24,1,77878C43-F16E-437D-892F-3CFCC0715A0A
57,10708100,adventure-works\frank1,0x7AE168,4,Marketing Specialist,24-Jul-71,S,M,23.02.2009,0,10,25,1,B395CD84-77BA-4D3C-A49D-D9E8D6CF100B
58,571658797,adventure-works\kendall0,0x7AE178,4,Marketing Specialist,30-May-86,M,M,05.12.2008,0,11,25,1,65207627-5521-4A8E-AD3C-B2F1B5226B85
59,843479922,adventure-works\bob0,0x7AE184,4,Master Scheduler,16-Aug-79,S,M,24.12.2008,0,12,26,1,68616AEA-81E5-4940-A7E4-6FBA882BCCF6
60,827686041,adventure-works\pete0,0x7AE18C,4,Network Administrator,3-Feb-77,S,M,11.01.2009,0,13,26,1,1F1D813D-3EDC-4274-8E9B-4519D71685B6
61,92096924,adventure-works\diane2,0x7AE194,4,Network Administrator,9-Aug-89,S,F,18.01.2009,0,8,24,1,721A2921-C415-46DE-9111-13F25F428B8B
62,494170342,adventure-works\john0,0x7AE3,3,Network Manager,7-Aug-56,M,M,17.03.2008,0,81,60,1,D4ED1F78-7C28-479B-BFEF-A73228BA2AAA
63,414476027,adventure-works\maciej0,0x7AE358,4,North American Sales Manager,30-Jan-55,S,M,29.01.2010,0,30,35,1,3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3
64,582347317,adventure-works\michael7,0x7AE368,4,Pacific Sales Manager,5-Sep-73,S,M,23.02.2010,0,26,33,1,492B24BD-BDE9-4371-B96E-CCD72264B91F
65,8066363,adventure-works\randy0,0x7AE378,4,Production Control Manager,28-Apr-70,M,M,23.02.2010,0,29,34,1,9A08108D-E039-4862-8F93-55F18017AD72
66,834186596,adventure-works\karan0,0x7AE384,4,Production Supervisor - WC10,7-Mar-70,S,M,22.12.2009,0,28,34,1,08B1BA74-DD80-4FDA-8327-93268B84977B
67,63179277,adventure-works\jay0,0x7AE38C,4,Production Supervisor - WC10,11-Feb-76,S,M,05.03.2009,0,32,36,1,18187809-5294-474F-85A1-D5BE6BD518D6
68,537092325,adventure-works\charles0,0x7AE394,4,Production Supervisor - WC10,2-Sep-71,S,M,03.12.2009,0,27,33,1,CDC11292-DF74-4FB0-8676-5B2AA4687142
69,752513276,adventure-works\steve0,0x7AE39C,4,Production Supervisor - WC20,6-Apr-91,S,M,15.02.2009,0,31,35,1,12F678D7-EAD3-4CF4-8518-A19AACF2A6D4
70,36151748,adventure-works\david2,0x7AE3A2,4,Production Supervisor - WC20,29-Dec-84,M,M,15.12.2008,0,33,36,1,FC617BB8-D2A3-4374-873C-8EF38D80127D
71,578935259,adventure-works\michael3,0x7AE5,3,Production Supervisor - WC20,29-Jan-89,S,M,15.02.2009,0,70,55,1,1AD772D7-7B4A-4A7B-8676-49DD7608CB94
72,443968955,adventure-works\steven0,0x7AE558,4,Production Supervisor - WC30,14-May-77,M,M,01.12.2008,0,41,40,1,0A8937C9-68AA-4D48-BA4E-B40493D764AA
73,138280935,adventure-works\carole0,0x7AE568,4,Production Supervisor - WC30,19-Oct-83,M,F,19.12.2008,0,42,41,1,C76A41F1-A390-4AE4-A82A-2A87764C6391
74,420023788,adventure-works\bjorn0,0x7AE578,4,Production Supervisor - WC30,6-Nov-89,S,M,07.01.2009,0,43,41,1,A942E1E0-2D5E-4858-97C0-947020E96860
75,363996959,adventure-works\michiko0,0x7AE584,4,Production Supervisor - WC40,27-Jun-82,S,M,26.01.2009,0,44,42,1,F359F5B6-5E18-4C62-8531-14D951911CE5
76,227319668,adventure-works\carol0,0x7AE58C,4,Production Supervisor - WC40,17-Oct-88,M,F,12.02.2009,0,45,42,1,8D0182A3-5B59-4EEA-9B3C-C7F05DA9A2CE
77,301435199,adventure-works\merav0,0x7AE594,4,Production Supervisor - WC40,13-May-83,M,F,03.03.2009,0,46,43,1,2EE7914A-62D3-473B-A0E1-E4E55341EC4E
78,370989364,adventure-works\reuben0,0x7AE7,3,Production Supervisor - WC45,27-Aug-87,M,M,15.12.2008,0,72,56,1,71EEE2A6-B9B3-4BF4-8949-01239DF7C901
79,697712387,adventure-works\eric1,0x7AE758,4,Production Supervisor - WC45,8-Dec-66,M,M,24.01.2010,0,60,50,1,55F62E38-9457-46C8-A824-E46A3117A935
80,943170460,adventure-works\sandeep0,0x7AE768,4,Production Supervisor - WC45,3-Dec-70,S,M,17.01.2010,0,65,52,1,606C21E2-3EC0-48A6-A9FE-6BC8123AC786
81,413787783,adventure-works\mihail0,0x7AE778,4,Production Supervisor - WC50,9-Mar-71,S,M,29.12.2009,0,64,52,1,03A9BA14-0D5B-4671-B851-2C1721EFBF01
82,58791499,adventure-works\jack1,0x7AE784,4,Production Supervisor - WC50,29-Aug-73,S,M,03.03.2010,0,62,51,1,D308D387-F7F3-4B5F-ABDA-FAF5574245CD
83,988315686,adventure-works\patrick1,0x7AE78C,4,Production Supervisor - WC50,23-Dec-73,M,M,12.02.2010,0,61,50,1,296C52AE-169F-4292-975D-C508476DCECF
84,947029962,adventure-works\frank3,0x7AE794,4,Production Supervisor - WC60,2-Mar-52,M,M,05.02.2010,0,66,53,1,9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C
85,1662732,adventure-works\brian2,0x7AE79C,4,Production Supervisor - WC60,23-Dec-70,S,M,11.12.2009,0,63,51,1,C294F676-CAAF-4924-9730-BC81AE408BE1
86,769680433,adventure-works\ryan0,0x7AE7A2,4,Production Supervisor - WC60,13-Jun-72,M,M,05.01.2009,0,59,49,1,10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB
87,7201901,adventure-works\cristian0,0x7AE880,3,Production Technician - WC10,11-Apr-84,M,M,22.12.2008,0,67,53,1,5BE16416-8570-417D-9E54-047DB468B5E9
88,294148271,adventure-works\betsy0,0x7AE8AC,4,Production Technician - WC10,17-Dec-66,S,F,18.12.2009,0,99,69,1,EBCDBA1C-6C1D-4D36-90F7-1893755C85E3
89,90888098,adventure-works\patrick0,0x7AE8B4,4,Production Technician - WC10,10-Sep-86,S,M,01.02.2010,0,96,68,1,D5FBE9E6-B8C5-484C-B4B8-48059E0EF267
90,82638150,adventure-works\danielle0,0x7AE8BC,4,Production Technician - WC10,7-Sep-86,S,F,20.02.2010,0,97,68,1,BB886159-1400-4264-B7C9-A3769BEB1274
91,390124815,adventure-works\kimberly0,0x7AE8C2,4,Production Technician - WC10,13-Sep-86,S,F,12.01.2010,0,95,67,1,CE256B6C-1EEE-43ED-9969-7CAC480FF4D7
92,826454897,adventure-works\tom0,0x7AE8C6,4,Production Technician - WC10,1-Oct-86,M,M,10.03.2010,0,98,69,1,B3BF7FC5-2014-48CE-B7BB-76124FA8446C
93,778552911,adventure-works\kok-ho0,0x7AE980,3,Production Technician - WC10,28-Apr-80,S,M,27.12.2008,0,78,59,1,57FB2C0F-B105-49F0-967A-88F3D743CB3F
94,718299860,adventure-works\russell0,0x7AE9AC,4,Production Technician - WC10,25-Nov-72,M,M,12.12.2008,0,6,23,1,6B10192F-D570-47C4-82C9-3D979B1EFDC1
95,674171828,adventure-works\jim0,0x7AE9B4,4,Production Technician - WC10,8-Sep-86,M,M,19.12.2008,0,1,20,1,6175876E-8FCC-4917-BE06-FC358515E6DF
96,912141525,adventure-works\elizabeth0,0x7AE9BC,4,Production Technician - WC10,25-Jan-90,M,F,02.03.2009,0,5,22,1,62A9F73F-6443-4F2F-B864-18186614BFB6
97,370581729,adventure-works\mandar0,0x7AE9C2,4,Production Technician - WC10,21-Mar-86,S,M,10.02.2009,0,0,20,1,1F0E068A-48C5-40BF-8190-565150EFDADD
98,152085091,adventure-works\sameer0,0x7AE9C6,4,Production Technician - WC10,26-Jun-78,M,M,11.02.2009,0,4,22,1,A703169F-1563-488E-914D-D784FD07F29A
99,431859843,adventure-works\nuan0,0x7AE9CA,4,Production Technician - WC10,29-Mar-79,S,M,06.01.2009,0,2,21,1,A6089357-2F2F-48CC-AB3C-D9B75A3C09D7
100,204035155,adventure-works\lolan0,0x7AE9CE,4,Production Technician - WC10,24-Jan-73,M,M,12.01.2009,0,7,23,1,9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF
101,153288994,adventure-works\houman0,0x7AE9D1,4,Production Technician - WC10,30-Aug-71,M,M,25.01.2009,0,3,21,1,9CE8B2E8-9944-4BA5-97DE-441D8314F161
102,360868122,adventure-works\zheng0,0x7AEA80,3,Production Technician - WC10,26-Oct-83,S,M,03.12.2008,0,66,53,1,C75F2740-ACE3-4EBF-91C5-7AB352E1095F
103,455563743,adventure-works\ebru0,0x7AEAAC,4,Production Technician - WC10,22-Sep-86,S,M,06.12.2009,0,93,66,1,6C25A32B-88B5-4F84-A129-F7F688DFA588
104,717889520,adventure-works\mary1,0x7AEAB4,4,Production Technician - WC20,19-Sep-86,M,F,25.12.2009,0,94,67,1,6DC9F7D0-5664-4E4A-90F5-7AB85EBB02E6
105,801365500,adventure-works\kevin2,0x7AEABC,4,Production Technician - WC20,19-Sep-86,S,M,25.12.2009,0,90,65,1,8B21E53D-E705-479A-B32E-6E63AC2F4BCD
106,561196580,adventure-works\john4,0x7AEAC2,4,Production Technician - WC20,28-Sep-86,S,M,27.02.2010,0,92,66,1,D4CF23D9-21B6-45E4-827C-22890DF0373B
107,393421437,adventure-works\christopher0,0x7AEAC6,4,Production Technician - WC20,1-Oct-86,M,M,08.02.2010,0,91,65,1,F71C6055-557B-4660-86FF-8C0FA14B24E6
108,630184120,adventure-works\jinghao0,0x7AEB80,3,Production Technician - WC20,5-Feb-89,S,M,08.12.2008,0,77,58,1,2BCA07D3-F2AC-4406-904F-E09156F3EB3E
109,113695504,adventure-works\alice0,0x7AEBAC,4,Production Technician - WC20,26-Jan-78,M,F,07.12.2008,0,95,67,1,7E632B21-0D11-4BBA-8A68-8CAE14C20AE6
110,857651804,adventure-works\jun0,0x7AEBB4,4,Production Technician - WC20,6-Jul-79,S,M,14.12.2008,0,90,65,1,9C5F84D1-FB96-4D82-92A1-F932903DEAAD
111,415823523,adventure-works\suroor0,0x7AEBBC,4,Production Technician - WC20,25-Feb-78,S,M,17.12.2008,0,93,66,1,14010B0E-C101-4E41-B788-21923399E512
112,981597097,adventure-works\john1,0x7AEBC2,4,Production Technician - WC20,31-May-78,S,M,01.01.2009,0,91,65,1,B6998410-EE0F-4307-9E6E-FE348F11012D
113,54759846,adventure-works\linda0,0x7AEBC6,4,Production Technician - WC20,17-Jul-87,M,F,25.12.2008,0,96,68,1,FB84759C-B687-43B2-8727-125EFE0F5E13
114,342607223,adventure-works\mindaugas0,0x7AEBCA,4,Production Technician - WC20,7-May-78,M,M,13.01.2009,0,97,68,1,1D784088-DACB-4185-9F60-3D2DB4925BA5
115,563680513,adventure-works\angela0,0x7AEBCE,4,Production Technician - WC20,31-May-91,S,F,20.01.2009,0,92,66,1,4958E1C3-C872-4222-954E-09D2060EA7EF
116,398737566,adventure-works\michael2,0x7AEBD1,4,Production Technician - WC20,3-May-74,S,M,31.01.2009,0,98,69,1,C6EB2566-CF28-4602-9A25-5B91C8728838
117,599942664,adventure-works\chad0,0x7AEBD3,4,Production Technician - WC20,4-Aug-90,M,M,18.02.2009,0,99,69,1,83A32D4C-4725-478F-9997-91739BB957BA
118,222400012,adventure-works\don0,0x7AEBD5,4,Production Technician - WC20,13-Jun-71,M,M,13.02.2009,0,88,64,1,E720053D-922E-4C91-B81A-A1CA4EF8BB0E
119,334834274,adventure-works\michael4,0x7AEBD7,4,Production Technician - WC20,15-Jun-89,S,M,25.02.2009,0,94,67,1,EB27C026-9470-4450-8D5E-1F38A41793B5
120,211789056,adventure-works\kitti0,0x7AEBD9,4,Production Technician - WC20,6-Jun-87,S,F,04.03.2009,0,89,64,1,49A05524-FA34-45B1-95BC-489901DC5B50
121,521265716,adventure-works\pilar0,0x7AEC80,3,Production Technician - WC20,9-Sep-72,S,M,02.01.2009,1,93,66,1,01BCCE22-D63A-4C3F-9BA8-D3D5A4C3BD52
122,586486572,adventure-works\susan0,0x7AECAC,4,Production Technician - WC20,17-Feb-78,S,F,07.12.2008,0,97,68,1,923ECFD6-E202-429A-9141-6CB183531439
123,337752649,adventure-works\vamsi0,0x7AECB4,4,Production Technician - WC20,18-Mar-77,M,M,07.12.2008,0,95,67,1,A8838AB2-99DE-415C-8675-D82EBF1C4752
124,420776180,adventure-works\kim0,0x7AECBC,4,Production Technician - WC20,30-Apr-84,S,F,26.12.2008,0,98,69,1,6150F197-7923-40D4-84F2-936207D468AB
125,584205124,adventure-works\matthias0,0x7AECC2,4,Production Technician - WC20,11-Nov-73,M,M,20.01.2009,0,94,67,1,54ED63DC-C62C-4CC7-89C2-015DF49C49A5
126,652779496,adventure-works\jimmy0,0x7AECC6,4,Production Technician - WC30,4-May-85,M,M,26.02.2009,0,96,68,1,96442787-9520-4955-A457-38AFDDB6FF13
127,750905084,adventure-works\david4,0x7AED80,3,Production Technician - WC30,2-Jul-83,S,M,03.01.2009,0,73,56,1,516538E8-115B-44F4-AA7B-E6C1D9F8ADFC
128,384162788,adventure-works\paul0,0x7AEDAC,4,Production Technician - WC30,13-Nov-80,S,M,04.12.2008,0,68,54,1,0217049E-1566-42B6-8027-41B751E2B00B
129,502058701,adventure-works\gary0,0x7AEDB4,4,Production Technician - WC30,16-May-88,S,M,22.12.2008,0,69,54,1,A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6
130,578953538,adventure-works\rob1,0x7AEDBC,4,Production Technician - WC30,4-Aug-73,S,M,13.02.2009,0,71,55,1,54FDA597-6822-42B4-B128-63ECA03071F2
131,273260055,adventure-works\baris0,0x7AEDC2,4,Production Technician - WC30,7-Oct-90,S,M,15.02.2009,0,72,56,1,232D68BF-DF58-48F9-9235-53BD4B009B4B
132,1300049,adventure-works\nicole0,0x7AEDC6,4,Production Technician - WC30,9-Apr-86,M,F,22.02.2009,0,67,53,1,15671E3B-016F-41FD-840B-5A9F7D776D9A
133,830150469,adventure-works\michael1,0x7AEDCA,4,Production Technician - WC30,4-Jan-91,S,M,10.01.2009,0,70,55,1,416BF905-7D6C-4692-8FD6-40F6C4F9ECC4
134,45615666,adventure-works\eric0,0x7AEE80,3,Production Technician - WC30,19-Jan-85,M,M,14.01.2009,0,40,40,1,2ABCF39B-88D7-49FA-820A-83D223322BA5
135,964089218,adventure-works\ivo0,0x7AEEAC,4,Production Technician - WC30,3-Jan-82,M,M,04.12.2008,0,9,24,1,D83A26F3-7EA7-477B-A5BB-7EAADFC13A09
136,701156975,adventure-works\sylvester0,0x7AEEB4,4,Production Technician - WC30,12-Nov-70,M,M,11.12.2009,0,4,22,1,D9C43D08-3882-4E5C-BDF0-F6BD7004CD04
137,63761469,adventure-works\anibal0,0x7AEEBC,4,Production Technician - WC30,5-Sep-74,S,F,23.02.2009,0,8,24,1,BC18A829-F0CE-4EAF-9785-2D84C86F925A
138,25011600,adventure-works\samantha0,0x7AEEC2,4,Production Technician - WC30,22-Nov-87,M,F,04.02.2009,0,7,23,1,1629EDDD-D0AE-4CB9-A59C-3A175F7027E5
139,113393530,adventure-works\hung-fu0,0x7AEEC6,4,Production Technician - WC30,23-Oct-71,S,M,06.01.2010,0,0,20,1,065D8D5F-9504-4FFE-98DC-E69677F19F15
140,339233463,adventure-works\prasanna0,0x7AEECA,4,Production Technician - WC30,30-Apr-53,M,M,22.01.2010,0,5,22,1,72ED240A-0FD8-4423-8A49-9078BA6BCF6C
141,872923042,adventure-works\min0,0x7AEECE,4,Production Technician - WC30,10-Sep-74,M,M,24.01.2010,0,1,20,1,CC75C35D-1566-43FA-B2E9-D1E508EFDCD1
142,163347032,adventure-works\olinda0,0x7AEED1,4,Production Technician - WC30,4-Apr-70,S,F,04.03.2010,0,3,21,1,6456CEC3-9B1E-4EBC-9FD8-732B93363F65
143,56772045,adventure-works\krishna0,0x7AEED3,4,Production Technician - WC30,5-Sep-71,S,M,13.02.2010,0,2,21,1,42A506A5-0AC0-4148-B702-BB7B804EF98C
144,886023130,adventure-works\paul1,0x7AEED5,4,Production Technician - WC30,4-Nov-90,M,M,17.01.2009,0,6,23,1,DC5BA622-B860-41EE-AF92-5FEB4779B589
145,386315192,adventure-works\cynthia0,0x7AEF80,3,Production Technician - WC30,18-Aug-81,S,F,27.01.2009,0,69,54,1,F9E1DC46-0D03-4A8A-B693-1A964BC13E6C
146,160739235,adventure-works\jianshuo0,0x7AEFAC,4,Production Technician - WC30,25-Jun-89,S,M,07.12.2008,0,36,38,1,6FFF136A-9664-4EB9-9243-FAC76E21B9DD
147,604664374,adventure-works\sandra0,0x7AEFB4,4,Production Technician - WC30,5-Nov-75,M,F,26.12.2008,0,37,38,1,F69F3FF9-E1E0-4419-A6BF-F705E1556160
148,733022683,adventure-works\jason0,0x7AEFBC,4,Production Technician - WC30,7-Dec-88,S,M,14.01.2009,0,38,39,1,C16C501D-942D-4EB0-B5C4-EF8119FBEBA2
149,764853868,adventure-works\andy0,0x7AEFC2,4,Production Technician - WC30,20-Oct-83,M,M,31.01.2009,0,39,39,1,615A6BFE-3046-4037-9764-238535F725BE
150,878395493,adventure-works\michael5,0x7AEFC6,4,Production Technician - WC30,18-Sep-82,M,M,26.02.2009,0,35,37,1,2B0876D4-8996-4E71-A613-BE2E98E7ACCF
151,993310268,adventure-works\rostislav0,0x7AEFCA,4,Production Technician - WC40,13-Sep-77,M,M,19.02.2009,0,40,40,1,00027A8C-C2F8-4A31-ABA8-8A203638B8F1
152,319472946,adventure-works\yuhong0,0x7AF044,3,Production Technician - WC40,6-Apr-77,M,M,01.02.2009,0,41,40,1,F1A684F4-02DB-4B22-8977-6D8D3A21100E
